Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,non_active,cycle_added_unweighted,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02002886,E02002892,34,0,0,0,6,0,0,24,2,1,1,0,4072.494326916358,0.03108981722768413,0.029411764705882353,0.045424708266452465,0.6474838436684873,32,0.9279617312436158,6.289959445059358,7,0.20588235294117646,4.072494326916358,4-5 km,4-6 km
E02002886,E02002893,96,0,0,0,13,0,1,44,9,0,29,0,1784.5081787105203,0.037441570497351265,0,0.04107867816216809,0,67,2.752271436865262,18.655592290942167,19,0.19791666666666666,1.7845081787105204,1-2 km,0-2 km
E02002886,E02002894,24,0,0,0,2,0,0,5,2,0,15,0,2620.928681610289,0.029615571692481427,0,0.04398339476929507,0,9,0.3958505529236556,2.6831752219536877,3,0.125,2.620928681610289,2-3 km,2-4 km
E02002886,E02002895,83,0,4,0,25,2,0,32,7,4,8,1,2811.7204079113117,0.02328588872994776,0.04819277108433735,0.04297554642367882,1.1213998446750157,71,1.4025061221159076,9.506541414950423,14,0.1686746987951807,2.8117204079113116,2-3 km,2-4 km
E02002886,E02002896,59,0,1,0,15,3,1,36,1,0,2,0,5264.707743286,0.05062459983696154,0,0.047074813050455896,0,57,2.6832643438759862,18.187844751674263,18,0.3050847457627119,5.264707743285999,5-6 km,4-6 km
E02002886,E02002898,187,0,1,1,34,0,1,91,15,18,24,2,3171.378387582513,0.043807319824982045,0.0962566844919786,0.0491143172208956,1.9598497940846131,145,1.8306382741606244,12.408529484952293,30,0.16042780748663102,3.171378387582513,3-4 km,2-4 km
E02002886,E02002899,79,0,0,0,10,0,0,33,2,8,25,1,4385.008696655792,0.028469539778362935,0.10126582278481013,0.044144364077531244,2.293969454559495,46,0.41407544921811335,2.8067081810434167,11,0.13924050632911392,4.385008696655792,4-5 km,4-6 km
E02002886,E02006904,273,0,31,0,112,3,1,82,15,9,19,1,4506.037993925305,0.024081256144533297,0.03296703296703297,0.042757699148192226,0.7710198075152226,245,6.138755301777963,41.61003691346152,51,0.18681318681318682,4.506037993925306,4-5 km,4-6 km
E02002886,E02006905,107,0,3,0,22,1,1,55,9,7,8,1,5067.557453205902,0.0246381960178668,0.06542056074766354,0.041226055839063504,1.5868741119220695,92,1.2625916343829853,8.558165610231706,16,0.14953271028037382,5.067557453205902,5-6 km,4-6 km
E02002887,E02002869,24,0,2,0,5,0,0,14,1,1,1,0,6006.908875752944,0.022113354008247432,0.041666666666666664,0.03694989684083453,1.1276531256947782,22,0.3720304568466319,2.521716582812282,4,0.16666666666666666,6.006908875752944,6-7 km,6-8 km
