MSOA11CD,lon,lat,centroid
E02000565,-0.08460745508457806,51.55000384503467,"c(-0.0846074550845781, 51.5500038450347)"
E02000562,-0.09809919331125755,51.55525387157033,"c(-0.0980991933112575, 51.5552538715703)"
E02000563,-0.1234976,51.5532933,"c(-0.1234976, 51.5532933)"
E02000560,-0.1152792,51.560426,"c(-0.1152792, 51.560426)"
E02000561,-0.130479019567279,51.55754662964464,"c(-0.130479019567279, 51.5575466296446)"
E02000568,-0.1179473659903221,51.54600956987831,"c(-0.117947365990322, 51.5460095698783)"
E02000569,-0.0983082,51.541916,"c(-0.0983082, 51.541916)"
E02000406,-0.1017887,51.5992301,"c(-0.1017887, 51.5992301)"
E02000487,0.24705397308614835,51.549662456408015,"c(0.247053973086148, 51.549662456408)"
E02000407,-0.069203,51.5947956,"c(-0.069203, 51.5947956)"
E02000486,0.2070553,51.5536278,"c(0.2070553, 51.5536278)"
E02000404,-0.09966855912088066,51.600544431647464,"c(-0.0996685591208807, 51.6005444316475)"
E02000485,0.2365551,51.5589016,"c(0.2365551, 51.5589016)"
E02000405,-0.13195362973177155,51.5989130260158,"c(-0.131953629731772, 51.5989130260158)"
E02000484,0.19545010079455877,51.565150592192964,"c(0.195450100794559, 51.565150592193)"
E02000402,-0.08095244901364047,51.6049628050507,"c(-0.0809524490136405, 51.6049628050507)"
E02000483,0.21828849170100606,51.562729046155916,"c(0.218288491701006, 51.5627290461559)"
E02000403,-0.10913384119595539,51.601286585768854,"c(-0.109133841195955, 51.6012865857689)"
E02000482,0.2545772,51.5657244,"c(0.2545772, 51.5657244)"
E02000400,-0.126743653805548,51.60529101432056,"c(-0.126743653805548, 51.6052910143206)"
E02000481,0.27157437759987313,51.55790339310239,"c(0.271574377599873, 51.5579033931024)"
E02000401,-0.08936707137296172,51.602558949527435,"c(-0.0893670713729617, 51.6025589495274)"
E02000480,0.16775185897563208,51.56893578370947,"c(0.167751858975632, 51.5689357837095)"
E02000408,-0.0654142120119886,51.59476599307579,"c(-0.0654142120119886, 51.5947659930758)"
E02000489,0.1966834,51.5444891,"c(0.1966834, 51.5444891)"
E02000409,-0.08398979052826779,51.59787808967538,"c(-0.0839897905282678, 51.5978780896754)"
E02000488,0.2156178,51.5457605,"c(0.2156178, 51.5457605)"
E02000756,0.0843489280223618,51.601460484262134,"c(0.0843489280223618, 51.6014604842621)"
E02000757,0.021239249301447806,51.59732833245959,"c(0.0212392493014478, 51.5973283324596)"
E02000754,0.039880707785990926,51.607380953778325,"c(0.0398807077859909, 51.6073809537783)"
E02000755,0.05373099476704883,51.604924226883334,"c(0.0537309947670488, 51.6049242268833)"
E02000752,0.11449854098621576,51.60976017089014,"c(0.114498540986216, 51.6097601708901)"
E02000753,0.09949469985723747,51.60905840215105,"c(0.0994946998572375, 51.609058402151)"
E02000750,0.05019077599237242,51.50158708394182,"c(0.0501907759923724, 51.5015870839418)"
E02000751,0.0272866,51.6136272,"c(0.0272866, 51.6136272)"
E02006787,-0.04012782232700577,51.39993191231745,"c(-0.0401278223270058, 51.3999319123174)"
E02006786,0.10179973785039557,51.481193385421825,"c(0.101799737850396, 51.4811933854218)"
E02000758,0.060924210360355766,51.59162347169448,"c(0.0609242103603558, 51.5916234716945)"
E02006785,0.09747144119784316,51.46897868065247,"c(0.0974714411978432, 51.4689786806525)"
E02000759,0.0370524,51.594302,"c(0.0370524, 51.594302)"
E02006784,-0.0029592184819539507,51.42287962135495,"c(-0.00295921848195395, 51.422879621355)"
E02006783,0.01261129810542847,51.429161945767845,"c(0.0126112981054285, 51.4291619457678)"
E02006782,0.016596826227899777,51.42053607190036,"c(0.0165968262278998, 51.4205360719004)"
E02006789,0.04118947914040854,51.315592599315096,"c(0.0411894791404085, 51.3155925993151)"
E02006788,-0.0652945,51.3905552,"c(-0.0652945, 51.3905552)"
E02000666,-0.0268529,51.4564474,"c(-0.0268529, 51.4564474)"
E02000667,-0.0353431416618974,51.45374126025429,"c(-0.0353431416618974, 51.4537412602543)"
E02000664,-0.0112435,51.4570921,"c(-0.0112435, 51.4570921)"
E02000665,0.0058835,51.4512855,"c(0.0058835, 51.4512855)"
E02000662,-0.04182752373217813,51.464194931458735,"c(-0.0418275237321781, 51.4641949314587)"
E02000663,-0.0166233,51.4647649,"c(-0.0166233, 51.4647649)"
E02000660,-0.029440858571550706,51.4678605455209,"c(-0.0294408585715507, 51.4678605455209)"
E02000661,0.005238417223698062,51.463617818018896,"c(0.00523841722369806, 51.4636178180189)"
E02000668,0.010541945314767716,51.45092076514919,"c(0.0105419453147677, 51.4509207651492)"
E02000669,-0.003871489653287206,51.449814582034406,"c(-0.00387148965328721, 51.4498145820344)"
E02000946,-0.1843974744331421,51.443334397985225,"c(-0.184397474433142, 51.4433343979852)"
E02000947,-0.19779106293434834,51.44399298143904,"c(-0.197791062934348, 51.443992981439)"
E02000944,-0.2152982207310542,51.44810352369158,"c(-0.215298220731054, 51.4481035236916)"
E02000945,-0.2401763,51.4496934,"c(-0.2401763, 51.4496934)"
E02000942,-0.2024701,51.4499701,"c(-0.2024701, 51.4499701)"
E02000943,-0.1513243,51.4451519,"c(-0.1513243, 51.4451519)"
E02000940,-0.1920327,51.4538259,"c(-0.1920327, 51.4538259)"
E02000126,-0.196511438787016,51.532307532617985,"c(-0.196511438787016, 51.532307532618)"
E02000941,-0.18518938926042347,51.451012870786364,"c(-0.185189389260423, 51.4510128707864)"
E02000127,0.04625275545939256,51.429620783473375,"c(0.0462527554593926, 51.4296207834734)"
E02000124,-0.21315095828668948,51.53303242469612,"c(-0.213150958286689, 51.5330324246961)"
E02000125,-0.2291745,51.5306794,"c(-0.2291745, 51.5306794)"
E02000122,-0.22325811095596007,51.538523693189376,"c(-0.22325811095596, 51.5385236931894)"
E02000123,-0.2459564454453421,51.53677684036936,"c(-0.245956445445342, 51.5367768403694)"
E02000120,-0.20024588601426968,51.54107645201191,"c(-0.20024588601427, 51.5410764520119)"
E02000121,-0.2977399,51.5421718,"c(-0.2977399, 51.5421718)"
E02000948,-0.14658574510419653,51.44242640766847,"c(-0.146585745104197, 51.4424264076685)"
E02006930,0.010246839042710959,51.48626423715518,"c(0.010246839042711, 51.4862642371552)"
E02006931,-0.013722825773921392,51.474611790354416,"c(-0.0137228257739214, 51.4746117903544)"
E02000128,0.06690439454588407,51.42317250669774,"c(0.0669043945458841, 51.4231725066977)"
E02000077,0.1105231,51.4677311,"c(0.1105231, 51.4677311)"
E02000074,0.17737251559204273,51.47050390855545,"c(0.177372515592043, 51.4705039085555)"
E02000075,0.14100353423615988,51.46874025528075,"c(0.14100353423616, 51.4687402552807)"
E02000072,0.1903281,51.4713594,"c(0.1903281, 51.4713594)"
E02000073,0.1269702,51.4737262,"c(0.1269702, 51.4737262)"
E02000070,0.13678836326482197,51.4781732792843,"c(0.136788363264822, 51.4781732792843)"
E02000071,0.1574071,51.4746959,"c(0.1574071, 51.4746959)"
E02000078,0.16623044931042247,51.46402252471302,"c(0.166230449310422, 51.464022524713)"
E02000079,0.13815796256547064,51.45926627917883,"c(0.138157962565471, 51.4592662791788)"
E02000316,0.060901,51.493589,"c(0.060901, 51.493589)"
E02000397,-0.1118017,51.605171,"c(-0.1118017, 51.605171)"
E02000317,0.052862914576647255,51.49011110244221,"c(0.0528629145766473, 51.4901111024422)"
